"Surv","z","z1","Repr","Fec","SiteID","PlotID","Region","ID","NewPlot_13","NewPlot_14","Year"
0,22,NA,0,NA,"CALAPOOIA","CALAPOOIAP01","Beyond","tran_518",0,1,"2014to2015"
0,22,NA,1,1,"CALAPOOIA","CALAPOOIAP01","Beyond","tran_517",0,1,"2014to2015"
1,99,254,1,16,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_510",0,1,"2014to2015"
1,202,669,1,31,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_512",0,1,"2014to2015"
1,18,80,1,1,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_513",0,1,"2014to2015"
1,71,65,1,7,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_508",0,1,"2014to2015"
0,27,NA,1,3,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_514",0,1,"2014to2015"
1,226,756,1,20,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_511",0,1,"2014to2015"
1,183,228,1,28,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_506",0,1,"2014to2015"
1,146,610,1,13,"CALAPOOIA","CALAPOOIAP04","Beyond","tran_507",0,1,"2014to2015"
0,35,NA,1,2,"CALAPOOIA","CALAPOOIAP05","Beyond","tran_499",0,1,"2014to2015"
0,35,NA,0,NA,"CALAPOOIA","CALAPOOIAP05","Beyond","tran_503",0,1,"2014to2015"
0,9,NA,0,NA,"CALAPOOIA","CALAPOOIAP05","Beyond","tran_498",0,1,"2014to2015"
0,57,NA,1,3,"CALAPOOIA","CALAPOOIAP06","Beyond","tran_487",0,1,"2014to2015"
0,277,NA,1,16,"CALAPOOIA","CALAPOOIAP06","Beyond","tran_494",0,1,"2014to2015"
0,175,NA,1,12,"CALAPOOIA","CALAPOOIAP06","Beyond","tran_495",0,1,"2014to2015"
0,108,NA,1,5,"CALAPOOIA","CALAPOOIAP06","Beyond","tran_490",0,1,"2014to2015"
1,98,41,0,NA,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_478",0,1,"2014to2015"
1,16,7,0,NA,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_484",0,1,"2014to2015"
1,5,3,0,NA,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_476",0,1,"2014to2015"
1,48,100,0,NA,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_479",0,1,"2014to2015"
0,29,NA,0,NA,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_477",0,1,"2014to2015"
1,13,34,1,1,"CALAPOOIA","CALAPOOIAP07","Beyond","tran_482",0,1,"2014to2015"
0,4,NA,0,NA,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_466",0,1,"2014to2015"
0,84,NA,1,2,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_465",0,1,"2014to2015"
1,89,278,1,2,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_469",0,1,"2014to2015"
0,13,NA,0,NA,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_468",0,1,"2014to2015"
0,183,NA,1,28,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_472",0,1,"2014to2015"
0,114,NA,1,8,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_467",0,1,"2014to2015"
0,102,NA,1,30,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_473",0,1,"2014to2015"
0,21,NA,0,NA,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_464",0,1,"2014to2015"
0,14,NA,1,1,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_471",0,1,"2014to2015"
1,85,21,1,6,"CALAPOOIA","CALAPOOIAP08","Beyond","tran_474",0,1,"2014to2015"
1,47,475,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_459",0,1,"2014to2015"
1,18,62,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_456",0,1,"2014to2015"
1,35,57,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_462",0,1,"2014to2015"
1,8,47,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_453",0,1,"2014to2015"
1,44,62,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_461",0,1,"2014to2015"
0,4,NA,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_458",0,1,"2014to2015"
0,5,NA,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_460",0,1,"2014to2015"
1,27,80,0,NA,"CALAPOOIA","CALAPOOIAP09","Beyond","tran_454",0,1,"2014to2015"
1,32,123,0,NA,"CALAPOOIA","CALAPOOIAP10","Beyond","tran_529",0,1,"2014to2015"
1,14,27,0,NA,"CALAPOOIA","CALAPOOIAP10","Beyond","tran_528",0,1,"2014to2015"
1,51,43,1,1,"CALAPOOIA","CALAPOOIAP10","Beyond","tran_532",0,1,"2014to2015"
1,16,16,0,NA,"CALAPOOIA","CALAPOOIAP10","Beyond","tran_530",0,1,"2014to2015"
0,11,NA,0,NA,"COAST","COASTP01","Within","tran_592",0,1,"2014to2015"
0,59,NA,1,1,"COAST","COASTP01","Within","tran_588",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP02","Within","tran_581",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP02","Within","tran_577",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP02","Within","tran_579",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP03","Within","tran_572",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP03","Within","tran_573",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP03","Within","tran_575",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP04","Within","tran_549",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP04","Within","tran_552",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP04","Within","tran_550",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP04","Within","tran_553",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP05","Within","tran_539",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP05","Within","tran_537",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP05","Within","tran_542",0,1,"2014to2015"
0,1,NA,0,NA,"COAST","COASTP05","Within","tran_543",0,1,"2014to2015"
1,10,51,0,NA,"COAST","COASTP06","Within","tran_561",0,1,"2014to2015"
1,4,22,0,NA,"COAST","COASTP06","Within","tran_558",0,1,"2014to2015"
1,57,133,0,NA,"COAST","COASTP06","Within","tran_555",0,1,"2014to2015"
1,65,69,0,NA,"COAST","COASTP06","Within","tran_560",0,1,"2014to2015"
0,7,NA,0,NA,"COAST","COASTP06","Within","tran_556",0,1,"2014to2015"
1,18,10,0,NA,"COAST","COASTP06","Within","tran_559",0,1,"2014to2015"
1,9,90,0,NA,"COAST","COASTP06","Within","tran_565",0,1,"2014to2015"
0,48,NA,0,NA,"COAST","COASTP06","Within","tran_562",0,1,"2014to2015"
1,157,300,0,NA,"COAST","COASTP06","Within","tran_563",0,1,"2014to2015"
1,12,44,0,NA,"COAST","COASTP06","Within","tran_564",0,1,"2014to2015"
1,88,305,0,NA,"COAST","COASTP07","Within","tran_608",0,1,"2014to2015"
0,20,NA,0,NA,"COAST","COASTP07","Within","tran_598",0,1,"2014to2015"
1,50,100,0,NA,"COAST","COASTP07","Within","tran_602",0,1,"2014to2015"
0,7,NA,0,NA,"COAST","COASTP07","Within","tran_600",0,1,"2014to2015"
1,13,67,0,NA,"COAST","COASTP07","Within","tran_607",0,1,"2014to2015"
1,51,38,0,NA,"COAST","COASTP07","Within","tran_604",0,1,"2014to2015"
0,3,NA,0,NA,"COAST","COASTP07","Within","tran_603",0,1,"2014to2015"
1,15,66,0,NA,"COAST","COASTP07","Within","tran_599",0,1,"2014to2015"
1,82,53,1,1,"COAST","COASTP07","Within","tran_605",0,1,"2014to2015"
1,52,296,1,2,"COAST","COASTP07","Within","tran_601",0,1,"2014to2015"
1,537,1979,1,15,"COAST","COASTP08","Within","tran_673",0,1,"2014to2015"
1,58,426,0,NA,"COAST","COASTP08","Within","tran_671",0,1,"2014to2015"
1,23,297,0,NA,"COAST","COASTP08","Within","tran_667",0,1,"2014to2015"
1,179,261,0,NA,"COAST","COASTP08","Within","tran_669",0,1,"2014to2015"
1,48,149,0,NA,"COAST","COASTP08","Within","tran_668",0,1,"2014to2015"
1,89,532,0,NA,"COAST","COASTP08","Within","tran_674",0,1,"2014to2015"
1,74,244,0,NA,"COAST","COASTP08","Within","tran_675",0,1,"2014to2015"
1,319,643,1,7,"COAST","COASTP08","Within","tran_676",0,1,"2014to2015"
1,56,189,0,NA,"COAST","COASTP08","Within","tran_672",0,1,"2014to2015"
1,356,1256,1,4,"COAST","COASTP09","Within","tran_642",0,1,"2014to2015"
1,153,1103,1,4,"COAST","COASTP09","Within","tran_639",0,1,"2014to2015"
1,171,330,0,NA,"COAST","COASTP09","Within","tran_641",0,1,"2014to2015"
1,242,942,0,NA,"COAST","COASTP09","Within","tran_638",0,1,"2014to2015"
0,68,NA,0,NA,"COAST","COASTP09","Within","tran_646",0,1,"2014to2015"
0,189,NA,0,NA,"COAST","COASTP09","Within","tran_640",0,1,"2014to2015"
1,194,893,0,NA,"COAST","COASTP09","Within","tran_645",0,1,"2014to2015"
1,227,1375,0,NA,"COAST","COASTP09","Within","tran_644",0,1,"2014to2015"
1,63,72,0,NA,"COAST","COASTP09","Within","tran_643",0,1,"2014to2015"
1,355,891,0,NA,"COAST","COASTP09","Within","tran_648",0,1,"2014to2015"
1,281,1097,0,NA,"COAST","COASTP09","Within","tran_647",0,1,"2014to2015"
1,57,153,0,NA,"COAST","COASTP10","Within","tran_666",0,1,"2014to2015"
1,84,104,0,NA,"COAST","COASTP10","Within","tran_663",0,1,"2014to2015"
1,16,117,0,NA,"COAST","COASTP10","Within","tran_661",0,1,"2014to2015"
0,55,NA,0,NA,"COAST","COASTP10","Within","tran_658",0,1,"2014to2015"
0,50,NA,0,NA,"COAST","COASTP10","Within","tran_657",0,1,"2014to2015"
0,5,NA,0,NA,"COAST","COASTP10","Within","tran_660",0,1,"2014to2015"
1,98,800,0,NA,"COAST","COASTP10","Within","tran_659",0,1,"2014to2015"
1,138,510,0,NA,"COAST","COASTP10","Within","tran_665",0,1,"2014to2015"
1,13,59,0,NA,"COAST","COASTP10","Within","tran_656",0,1,"2014to2015"
1,162,751,0,NA,"COAST","COASTP10","Within","tran_664",0,1,"2014to2015"
0,60,NA,0,NA,"COAST","COASTP10","Within","tran_662",0,1,"2014to2015"
1,65,32,1,1,"COAST","COASTP11","Within","tran_609",0,1,"2014to2015"
0,15,NA,0,NA,"COAST","COASTP11","Within","tran_610",0,1,"2014to2015"
0,50,NA,1,1,"COAST","COASTP11","Within","tran_611",0,1,"2014to2015"
0,40,NA,1,4,"COAST","COASTP11","Within","tran_612",0,1,"2014to2015"
0,22,NA,0,NA,"COAST","COASTP13","Within","tran_651",0,1,"2014to2015"
0,44,NA,0,NA,"COAST","COASTP13","Within","tran_654",0,1,"2014to2015"
0,47,NA,0,NA,"COAST","COASTP13","Within","tran_649",0,1,"2014to2015"
0,39,NA,1,1,"COAST","COASTP13","Within","tran_655",0,1,"2014to2015"
1,50,217,0,NA,"COAST","COASTP13","Within","tran_650",0,1,"2014to2015"
1,23,10,0,NA,"COAST","COASTP13","Within","tran_652",0,1,"2014to2015"
0,9,NA,0,NA,"COAST","COASTP13","Within","tran_653",0,1,"2014to2015"
1,115,23,0,NA,"COAST","COASTP14","Within","tran_628",0,1,"2014to2015"
0,25,NA,0,NA,"COAST","COASTP14","Within","tran_630",0,1,"2014to2015"
0,2,NA,0,NA,"COAST","COASTP14","Within","tran_627",0,1,"2014to2015"
0,55,NA,0,NA,"COAST","COASTP14","Within","tran_626",0,1,"2014to2015"
0,100,NA,0,NA,"COAST","COASTP14","Within","tran_632",0,1,"2014to2015"
0,72,NA,1,5,"COAST","COASTP14","Within","tran_633",0,1,"2014to2015"
0,57,NA,0,NA,"COAST","COASTP14","Within","tran_631",0,1,"2014to2015"
0,63,NA,0,NA,"COAST","COASTP14","Within","tran_629",0,1,"2014to2015"
1,92,31,1,2,"COAST","COASTP15","Within","tran_678",0,1,"2014to2015"
1,105,101,0,NA,"COAST","COASTP15","Within","tran_682",0,1,"2014to2015"
0,69,NA,0,NA,"COAST","COASTP15","Within","tran_677",0,1,"2014to2015"
0,46,NA,0,NA,"COAST","COASTP15","Within","tran_679",0,1,"2014to2015"
1,106,111,0,NA,"COAST","COASTP15","Within","tran_680",0,1,"2014to2015"
1,131,613,0,NA,"COAST","COASTP15","Within","tran_681",0,1,"2014to2015"
1,15,154,0,NA,"HUNTER","HUNTERP02","Beyond","tran_244",0,1,"2014to2015"
1,128,132,1,1,"HUNTER","HUNTERP02","Beyond","tran_248",0,1,"2014to2015"
0,80,NA,0,NA,"HUNTER","HUNTERP02","Beyond","tran_255",0,1,"2014to2015"
0,17,NA,0,NA,"HUNTER","HUNTERP02","Beyond","tran_251",0,1,"2014to2015"
0,47,NA,0,NA,"HUNTER","HUNTERP02","Beyond","tran_243",0,1,"2014to2015"
0,17,NA,0,NA,"HUNTER","HUNTERP02","Beyond","tran_247",0,1,"2014to2015"
0,95,NA,0,NA,"HUNTER","HUNTERP02","Beyond","tran_249",0,1,"2014to2015"
0,283,NA,1,2,"HUNTER","HUNTERP02","Beyond","tran_245",0,1,"2014to2015"
1,69,6,0,NA,"HUNTER","HUNTERP02","Beyond","tran_252",0,1,"2014to2015"
0,67,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_265",0,1,"2014to2015"
0,53,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_267",0,1,"2014to2015"
0,6,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_259",0,1,"2014to2015"
1,313,8,1,2,"HUNTER","HUNTERP03","Beyond","tran_256",0,1,"2014to2015"
0,42,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_257",0,1,"2014to2015"
0,50,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_258",0,1,"2014to2015"
0,10,NA,0,NA,"HUNTER","HUNTERP03","Beyond","tran_262",0,1,"2014to2015"
1,26,3,0,NA,"HUNTER","HUNTERP03","Beyond","tran_260",0,1,"2014to2015"
0,20,NA,0,NA,"HUNTER","HUNTERP04","Beyond","tran_231",0,1,"2014to2015"
1,185,4,0,NA,"HUNTER","HUNTERP04","Beyond","tran_240",0,1,"2014to2015"
1,161,274,1,4,"HUNTER","HUNTERP04","Beyond","tran_234",0,1,"2014to2015"
1,22,79,0,NA,"HUNTER","HUNTERP04","Beyond","tran_233",0,1,"2014to2015"
0,56,NA,0,NA,"HUNTER","HUNTERP04","Beyond","tran_241",0,1,"2014to2015"
0,84,NA,1,1,"HUNTER","HUNTERP04","Beyond","tran_237",0,1,"2014to2015"
1,111,13,0,NA,"HUNTER","HUNTERP04","Beyond","tran_230",0,1,"2014to2015"
1,145,27,1,5,"HUNTER","HUNTERP04","Beyond","tran_232",0,1,"2014to2015"
0,9,NA,0,NA,"HUNTER","HUNTERP04","Beyond","tran_235",0,1,"2014to2015"
0,541,NA,1,52,"HUNTER","HUNTERP04","Beyond","tran_236",0,1,"2014to2015"
0,7,NA,0,NA,"HUNTER","HUNTERP05","Beyond","tran_182",0,1,"2014to2015"
0,9,NA,0,NA,"HUNTER","HUNTERP05","Beyond","tran_181",0,1,"2014to2015"
1,38,7,0,NA,"HUNTER","HUNTERP05","Beyond","tran_186",0,1,"2014to2015"
0,38,NA,1,2,"HUNTER","HUNTERP07","Beyond","tran_281",0,1,"2014to2015"
0,9,NA,0,NA,"HUNTER","HUNTERP10","Beyond","tran_157",0,1,"2014to2015"
0,25,NA,0,NA,"HUNTER","HUNTERP10","Beyond","tran_158",0,1,"2014to2015"
0,37,NA,1,1,"HUNTER","HUNTERP10","Beyond","tran_160",0,1,"2014to2015"
0,11,NA,0,NA,"HUNTER","HUNTERP10","Beyond","tran_166",0,1,"2014to2015"
0,4,NA,0,NA,"HUNTER","HUNTERP10","Beyond","tran_162",0,1,"2014to2015"
0,19,NA,0,NA,"HUNTER","HUNTERP10","Beyond","tran_161",0,1,"2014to2015"
0,12,NA,0,NA,"HUNTER","HUNTERP11","Beyond","tran_149",0,1,"2014to2015"
1,115,532,1,7,"HUNTER","HUNTERP12","Beyond","tran_129",0,1,"2014to2015"
0,97,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_192",0,1,"2014to2015"
0,8,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_202",0,1,"2014to2015"
0,29,NA,1,1,"HUNTER","HUNTERP13","Beyond","tran_207",0,1,"2014to2015"
0,14,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_195",0,1,"2014to2015"
0,55,NA,1,3,"HUNTER","HUNTERP13","Beyond","tran_191",0,1,"2014to2015"
0,47,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_209",0,1,"2014to2015"
0,67,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_190",0,1,"2014to2015"
0,22,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_201",0,1,"2014to2015"
0,55,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_198",0,1,"2014to2015"
0,16,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_200",0,1,"2014to2015"
1,64,8,1,3,"HUNTER","HUNTERP13","Beyond","tran_193",0,1,"2014to2015"
1,111,9,1,1,"HUNTER","HUNTERP13","Beyond","tran_194",0,1,"2014to2015"
1,89,6,1,1,"HUNTER","HUNTERP13","Beyond","tran_205",0,1,"2014to2015"
0,38,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_196",0,1,"2014to2015"
0,19,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_197",0,1,"2014to2015"
0,11,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_203",0,1,"2014to2015"
0,5,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_204",0,1,"2014to2015"
0,13,NA,0,NA,"HUNTER","HUNTERP13","Beyond","tran_199",0,1,"2014to2015"
0,87,NA,1,1,"HUNTER","HUNTERP13","Beyond","tran_208",0,1,"2014to2015"
1,39,4,0,NA,"HUNTER","HUNTERP13","Beyond","tran_206",0,1,"2014to2015"
0,2,NA,0,NA,"LOOK","LOOKP02","Within","tran_951",0,1,"2014to2015"
0,3,NA,0,NA,"LOOK","LOOKP02","Within","tran_950",0,1,"2014to2015"
0,11,NA,0,NA,"LOOK","LOOKP03","Within","tran_923",0,1,"2014to2015"
0,2,NA,0,NA,"LOOK","LOOKP03","Within","tran_930",0,1,"2014to2015"
0,33,NA,0,NA,"LOOK","LOOKP03","Within","tran_925",0,1,"2014to2015"
0,32,NA,0,NA,"LOOK","LOOKP03","Within","tran_921",0,1,"2014to2015"
0,49,NA,0,NA,"LOOK","LOOKP03","Within","tran_922",0,1,"2014to2015"
0,3,NA,0,NA,"LOOK","LOOKP03","Within","tran_929",0,1,"2014to2015"
0,8,NA,0,NA,"LOOK","LOOKP03","Within","tran_926",0,1,"2014to2015"
0,23,NA,0,NA,"LOOK","LOOKP03","Within","tran_931",0,1,"2014to2015"
0,10,NA,0,NA,"LOOK","LOOKP04","Within","tran_911",0,1,"2014to2015"
0,8,NA,0,NA,"LOOK","LOOKP04","Within","tran_915",0,1,"2014to2015"
1,32,24,0,NA,"LOOK","LOOKP04","Within","tran_919",0,1,"2014to2015"
0,23,NA,0,NA,"LOOK","LOOKP04","Within","tran_912",0,1,"2014to2015"
0,8,NA,0,NA,"LOOK","LOOKP04","Within","tran_910",0,1,"2014to2015"
0,14,NA,0,NA,"LOOK","LOOKP04","Within","tran_913",0,1,"2014to2015"
0,6,NA,0,NA,"LOOK","LOOKP04","Within","tran_914",0,1,"2014to2015"
1,86,6,0,NA,"LOOK","LOOKP04","Within","tran_916",0,1,"2014to2015"
0,16,NA,0,NA,"LOOK","LOOKP04","Within","tran_917",0,1,"2014to2015"
0,6,NA,0,NA,"LOOK","LOOKP04","Within","tran_918",0,1,"2014to2015"
0,8,NA,0,NA,"LOOK","LOOKP04","Within","tran_920",0,1,"2014to2015"
0,4,NA,0,NA,"LOOK","LOOKP05","Within","tran_900",0,1,"2014to2015"
0,18,NA,0,NA,"LOOK","LOOKP05","Within","tran_907",0,1,"2014to2015"
0,13,NA,0,NA,"LOOK","LOOKP05","Within","tran_905",0,1,"2014to2015"
0,12,NA,0,NA,"LOOK","LOOKP05","Within","tran_902",0,1,"2014to2015"
0,31,NA,0,NA,"LOOK","LOOKP05","Within","tran_903",0,1,"2014to2015"
0,24,NA,0,NA,"LOOK","LOOKP05","Within","tran_906",0,1,"2014to2015"
0,24,NA,0,NA,"LOOK","LOOKP05","Within","tran_904",0,1,"2014to2015"
0,10,NA,0,NA,"LOOK","LOOKP05","Within","tran_899",0,1,"2014to2015"
0,7,NA,0,NA,"LOOK","LOOKP05","Within","tran_908",0,1,"2014to2015"
0,9,NA,0,NA,"LOOK","LOOKP05","Within","tran_909",0,1,"2014to2015"
0,34,NA,0,NA,"LOOK","LOOKP06","Within","tran_879",0,1,"2014to2015"
1,16,9,0,NA,"LOOK","LOOKP06","Within","tran_886",0,1,"2014to2015"
0,29,NA,0,NA,"LOOK","LOOKP06","Within","tran_882",0,1,"2014to2015"
0,74,NA,0,NA,"LOOK","LOOKP06","Within","tran_880",0,1,"2014to2015"
0,24,NA,0,NA,"LOOK","LOOKP06","Within","tran_881",0,1,"2014to2015"
0,119,NA,0,NA,"LOOK","LOOKP06","Within","tran_884",0,1,"2014to2015"
0,13,NA,0,NA,"LOOK","LOOKP06","Within","tran_883",0,1,"2014to2015"
1,102,41,0,NA,"LOOK","LOOKP06","Within","tran_887",0,1,"2014to2015"
0,60,NA,0,NA,"LOOK","LOOKP06","Within","tran_885",0,1,"2014to2015"
0,44,NA,0,NA,"LOOK","LOOKP07","Within","tran_895",0,1,"2014to2015"
0,78,NA,0,NA,"LOOK","LOOKP07","Within","tran_892",0,1,"2014to2015"
0,28,NA,0,NA,"LOOK","LOOKP07","Within","tran_896",0,1,"2014to2015"
0,18,NA,0,NA,"LOOK","LOOKP07","Within","tran_894",0,1,"2014to2015"
0,12,NA,0,NA,"LOOK","LOOKP07","Within","tran_898",0,1,"2014to2015"
1,29,15,0,NA,"LOOK","LOOKP08","Within","tran_862",0,1,"2014to2015"
0,35,NA,0,NA,"LOOK","LOOKP08","Within","tran_866",0,1,"2014to2015"
1,29,103,0,NA,"LOOK","LOOKP08","Within","tran_863",0,1,"2014to2015"
0,34,NA,0,NA,"LOOK","LOOKP08","Within","tran_865",0,1,"2014to2015"
1,132,252,0,NA,"LOOK","LOOKP08","Within","tran_864",0,1,"2014to2015"
0,80,NA,0,NA,"LOOK","LOOKP09","Within","tran_871",0,1,"2014to2015"
0,12,NA,0,NA,"LOOK","LOOKP09","Within","tran_867",0,1,"2014to2015"
0,13,NA,0,NA,"LOOK","LOOKP09","Within","tran_868",0,1,"2014to2015"
0,23,NA,0,NA,"LOOK","LOOKP09","Within","tran_873",0,1,"2014to2015"
0,29,NA,0,NA,"LOOK","LOOKP09","Within","tran_877",0,1,"2014to2015"
0,25,NA,0,NA,"LOOK","LOOKP09","Within","tran_872",0,1,"2014to2015"
0,50,NA,0,NA,"LOOK","LOOKP09","Within","tran_874",0,1,"2014to2015"
1,21,170,0,NA,"LOOK","LOOKP10","Within","tran_851",0,1,"2014to2015"
1,16,45,0,NA,"LOOK","LOOKP10","Within","tran_858",0,1,"2014to2015"
1,130,115,1,5,"LOOK","LOOKP10","Within","tran_857",0,1,"2014to2015"
1,19,48,1,1,"LOOK","LOOKP10","Within","tran_855",0,1,"2014to2015"
1,58,68,0,NA,"LOOK","LOOKP10","Within","tran_860",0,1,"2014to2015"
0,61,NA,0,NA,"LOOK","LOOKP10","Within","tran_854",0,1,"2014to2015"
1,39,49,0,NA,"LOOK","LOOKP10","Within","tran_861",0,1,"2014to2015"
1,187,62,0,NA,"LOOK","LOOKP10","Within","tran_850",0,1,"2014to2015"
1,30,187,0,NA,"LOOK","LOOKP10","Within","tran_856",0,1,"2014to2015"
1,85,132,0,NA,"LOOK","LOOKP10","Within","tran_859",0,1,"2014to2015"
0,15,NA,0,NA,"LOOK","LOOKP11","Within","tran_842",0,1,"2014to2015"
0,6,NA,0,NA,"LOOK","LOOKP11","Within","tran_838",0,1,"2014to2015"
0,12,NA,0,NA,"LOOK","LOOKP11","Within","tran_841",0,1,"2014to2015"
0,1,NA,0,NA,"LOOK","LOOKP12","Within","tran_844",0,1,"2014to2015"
0,16,NA,0,NA,"LOOK","LOOKP12","Within","tran_846",0,1,"2014to2015"
0,75,NA,0,NA,"LOOK","LOOKP12","Within","tran_843",0,1,"2014to2015"
0,40,NA,0,NA,"LOOK","LOOKP12","Within","tran_848",0,1,"2014to2015"
0,111,NA,1,18,"MOSBY","MOSBYP01","Within","tran_833",0,1,"2014to2015"
0,8,NA,0,NA,"MOSBY","MOSBYP01","Within","tran_831",0,1,"2014to2015"
