ID1,ID2,Latitude,Longitude,Elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,LRavg,GAMavg,RFavg,BRTavg,MAXavg,EN
normal1981to2010,Rock Creek,43.37876,-122.952072,326,11.7,16.1,18.5,16.2,22.5,29.3,31.9,32,28.9,23.6,11,9.5,4.3,6.3,5.5,-0.1,9.6,11.6,13.6,15.4,12,12.5,2.6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.5,170,99,80.4,46,25.5,4.25,11.4,41.4,190.4,184.1,285,14.67916667,12.50833333,38.96677051,627.1380098,32,-0.1,32.1,11.16666667,22.3,22.3,7.816666667,1248.95,285,4.25,82.96704026,659.5,41.15,41.15,580.6,0.867232953,0.871477112,0.6656,0.818684969,0.517315981,0.748062203
normal1981to2010,Hinkle Creek,43.433601,-123.088577,327,12,16.2,18.5,16.5,22.2,29,31.4,31.5,28.7,23.8,11.2,9.6,4.7,6.7,5.9,0.2,9.8,11.5,13.5,15.2,12.2,13,3.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,144,84.6,69,43,22.5,4,10.2,35.1,156.8,151.2,234,14.78333333,12.2,38.97763578,603.6379609,31.5,0.2,31.3,11.51666667,22.01666667,22.08333333,8.166666667,1048.9,234,4,80.57073347,542,36.7,49.3,479.7,0.863037933,0.876543399,0.6214,0.717174785,0.501266491,0.715884522
normal1981to2010,Coast Fork Willamette,43.6517,-123.087967,260,12,16.1,18.5,15.5,21,27.6,30.3,30.5,27.9,23.2,11.5,9.8,4.4,6.5,5.7,0.1,9.9,11.7,13.6,15.3,12.3,13,3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,145,85.2,72,45,23,3.75,12.6,36,153.6,141.4,218,14.47916667,11.69166667,38.45942982,589.1035498,30.5,0.1,30.4,11.43333333,21.5,21.65,8.133333333,1026.55,218,3.75,77.16964906,513,39.35,52.35,450.4,0.843824411,0.854833007,0.5128,0.736502224,0.482799211,0.686151771
normal1981to2010,Mosby Creek,43.721298,-122.976311,243,11.9,16,18.4,15.2,20.7,27.3,30,30.3,27.5,22.8,11.5,9.8,4.5,6.5,5.7,0.1,9.8,11.6,13.5,15.1,12.2,13.1,3,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,134,82.2,69,44.5,24.5,4.5,11.4,36.9,148.8,136.5,204,14.35833333,11.51666667,38.13465784,581.2949233,30.3,0.1,30.2,11.38333333,21.3,21.43333333,8.133333333,982.8,204,4.5,75.37276209,489.3,40.4,52.8,427,0.843121938,0.850902162,0.487,0.694936018,0.467214635,0.668634951
normal1981to2010,Calapooia Creek,44.359642,-122.842903,146,11.9,15.8,18.4,15.8,21.2,28,30.5,30.9,27.9,23.1,11.3,9.7,4.9,7,6.4,0.8,10.5,12.2,13.8,15.3,12.5,13.4,3.4,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,142,81,62.4,41,29,4.25,12,35.1,161.6,139.3,199,14.72083333,11.30833333,37.56921373,588.5631901,30.9,0.8,30.1,11.58333333,21.78333333,21.81666667,8.3,994.65,199,4.25,76.20695142,499.9,45.25,51.35,426.3,0.826413458,0.83881648,0.4808,0.678377421,0.470854482,0.659052368
normal1981to2010,Wiley Creek,44.412022,-122.675446,176,11.7,15.8,18.3,15.8,21.2,27.9,30.5,30.9,27.7,23,11.2,9.4,4.7,6.5,6.2,0.5,10.3,11.9,13.5,14.9,12,12.9,3.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,143,82.8,67.2,49,34,4.75,13.2,38.7,168,146.3,202,14.50833333,11.55,37.99342105,587.9851317,30.9,0.5,30.4,11.31666667,21.6,21.6,8.066666667,1036.45,202,4.75,73.72504587,516.3,51.95,51.95,435.8,0.832663845,0.839590272,0.4662,0.694192228,0.464397043,0.659408678
normal1981to2010,Thomas,44.711785,-122.61087,229,11.1,14.9,17.1,14.8,20.5,27,29.6,29.8,26.6,21.9,10.4,8.8,4.4,6.4,5.9,0.2,10.1,11.8,13.7,15.3,12.6,13,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,181,107.4,88.2,58,46,7,16.2,54,217.6,178.5,245,14.0375,10.675,36.06418919,594.792267,29.8,0.2,29.6,10.85,21.2,21.26666667,7.616666667,1310.9,245,7,72.0290832,641.1,69.2,77.2,535.5,0.757209592,0.717535389,0.267,0.217062161,0.418733659,0.47550816
normal1981to2010,Hunter,44.922787,-123.327316,101,11.9,16.1,18.4,16,21.8,28.7,31,31.3,28.4,23.6,11.7,9.8,4.8,6.8,6.3,0.6,10.2,11.9,13.4,15,12.3,12.9,3.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,150,79.2,48,28,18.5,3,7.8,27.9,139.2,142.1,228,14.77083333,11.90833333,38.78935939,592.856944,31.3,0.6,30.7,11.6,21.88333333,21.9,8.3,971.7,228,3,86.97788682,509.3,29.3,38.7,470.1,0.875654248,0.880095456,0.6556,0.63180543,0.521084365,0.7128479
normal1981to2011,Looking Glass,43.144088,-123.475052,176,13.2,17.3,19.9,17.2,22.9,29.8,32.4,32.5,29.6,24.5,12.4,10.8,5.1,6.9,6.2,0.5,10.2,12,14,15.4,11.8,12.5,3.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,113,58.8,46.2,25.5,12,2,6.6,22.5,108.8,114.1,195,15.3875,12.975,40.546875,594.6852682,32.5,0.5,32,12.06666667,22.68333333,22.68333333,8.95,782.5,195,2,88.36205682,417.9,20.6,20.6,387.1,0.89382941,0.88567966,0.7248,0.391045603,0.533786431,0.685828221
avg20012To003,Jamestown,37.91738,-120.42128,420,13.93333333,15.03333333,18.33333333,18.36666667,27.23333333,31.76666667,35.5,34.26666667,32,26.16666667,17.76666667,14.53333333,2.133333333,2.766666667,4.133333333,5.466666667,10.76666667,14.1,17.7,15.86666667,13.7,9.666666667,5.5,4.633333333,8.033333333,8.866666667,11.23333333,11.93333333,19,22.93333333,26.6,25.06666667,22.86666667,17.93333333,11.6,9.6,73.66666667,74.33333333,73.66666667,74,24.66666667,1.666666667,1,4,4,7.333333333,90.66666667,217.6666667,16.30555556,14.87222222,44.57209457,683.9890917,35.5,2.133333333,33.36666667,9.749999999,24.86666667,24.86666667,8.838888887,646.6666667,217.6666667,1,114.3098346,382,6.666666667,6.666666667,365.6666667,0.930172157,0.842302014,0.5438,0.478112669,0.638929039,0.686663176
avg20012To003,Mather,37.88558,-119.855377,1398,11.1,10.76666667,14.3,13.6,21.56666667,26.16666667,30.43333333,29.76666667,27.66666667,21.86666667,13.93333333,11.4,-2.066666667,-3.033333333,-0.533333333,1.033333333,6.666666667,10.43333333,14.7,13,10.8,5.933333333,2,0.6,4.5,3.866666667,6.9,7.3,14.13333333,18.3,22.6,21.4,19.23333333,13.86666667,7.966666667,6,85.66666667,86.33333333,93.66666667,119.3333333,40.33333333,2.333333333,3.333333333,4.666666667,6.333333333,10.33333333,134,276,12.17083333,14.41944445,43.08598938,688.8631115,30.43333333,-3.033333333,33.46666666,6.161111111,20.75,21.06111111,4.794444445,862.3333333,276,2.333333333,110.8703148,495.6666667,10.33333333,14.33333333,448,0.9332825,0.891574716,0.7688,0.960332684,0.600045955,0.830807171
avg20012To003,Timberline,37.96158,-119.280884,3008,2.766666667,1.566666667,4.7,3.5,10.83333333,15.8,19.56666667,18.6,16.3,11.33333333,4.9,2.733333333,-10.03333333,-11.66666667,-8.766666667,-7.266666667,-0.633333333,3.2,8.033333333,7.433333333,4.4,-0.6,-6.033333333,-7.366666667,-3.633333333,-5.033333333,-2.033333333,-1.866666667,5.066666667,9.5,13.83333333,13.03333333,10.36666667,5.333333333,-0.566666667,-2.3,108.6666667,95.66666667,82,63.66666667,38.33333333,2.333333333,18.66666667,18,11.33333333,11,187.3333333,268.6666667,3.470833333,11.825,37.86019209,687.2673619,19.56666667,-11.66666667,31.23333334,-2.172222222,12.10555556,12.38888889,-3.666666667,905.6666667,268.6666667,2.333333333,106.569473,564.6666667,39,48,473.0000001,0.002504279,0.088020385,0.281,0.334271456,0.11139276,0.163437776
avg20012To003,White Wolf,37.87188,-119.65078,2417,8.266666667,6.666666667,10.36666667,8.833333333,15.73333333,20.5,24.2,23.46666667,21.56666667,16.3,10.26666667,8.6,-6.066666667,-8.133333333,-5.733333333,-4.566666667,2,6.366666667,10.83333333,9,7.4,2.533333333,-1.333333333,-4.1,1.1,-0.733333333,2.3,2.133333333,8.866666667,13.4,17.5,16.23333333,14.46666667,9.4,4.433333333,2.266666667,139.6666667,123.3333333,118,146.6666667,53.33333333,2.333333333,5.333333333,6.666666667,7,11,167,502,7.623611111,13.88055556,42.92955327,651.6507625,24.2,-8.133333333,32.33333333,2.605555556,15.72777778,16.07777778,0.872222222,1282.333333,502,2.333333333,129.9491368,808.6666667,14.33333333,19,765,0.771182994,0.630376275,0.302,0.477855984,0.363919705,0.509066992
